City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
404,noyabrsk,63.1994,75.4507,247.73,92,34,2.94,RU,1669910656
405,cortez,37.3489,-108.5859,281.32,51,0,2.06,US,1669910783
406,manzhouli,49.6,117.4333,256.49,95,100,4.8,CN,1669910783
407,imeni poliny osipenko,52.4201,136.4853,245.3,99,10,1.65,RU,1669910783
408,komadi,47.0,21.5,275.68,73,100,2.79,HU,1669910543
409,corsicana,32.0954,-96.4689,281.25,50,0,4.63,US,1669910783
410,krasnokamensk,50.0979,118.0369,254.11,97,100,2.94,RU,1669910783
411,ayagoz,47.9714,80.4392,265.72,94,100,5.46,KZ,1669910784
412,banda aceh,5.5577,95.3222,299.02,82,96,2.41,ID,1669910784
413,de aar,-30.6497,24.0123,299.33,35,75,4.79,ZA,1669910784
414,solnechnyy,50.7214,136.6319,248.98,94,10,1.42,RU,1669910605
415,parakai,-36.65,174.4333,289.11,77,100,5.08,NZ,1669910784
416,ormara,25.2088,64.6357,298.18,51,33,3.74,PK,1669910784
417,mount isa,-20.7333,139.5,297.02,27,0,3.6,AU,1669910784
418,hornepayne,49.2138,-84.7705,264.09,66,46,4.52,CA,1669910784
419,kruisfontein,-34.0033,24.7314,294.75,55,38,4.33,ZA,1669910613
420,vostok,46.4856,135.8833,248.03,98,98,2.23,RU,1669910785
421,nola,40.922,14.5329,286.38,86,32,1.21,IT,1669910785
422,takoradi,4.8845,-1.7554,301.7,70,90,4.25,GH,1669910785
423,tabuk,17.4189,121.4443,295.72,91,27,1.71,PH,1669910785
424,hamilton,39.1834,-84.5333,274.11,60,0,0.45,US,1669910629
425,mitsamiouli,-11.3847,43.2844,299.52,66,11,1.41,KM,1669910786
426,geraldton,-28.7667,114.6,290.38,77,40,3.6,AU,1669910786
427,wajima,37.4,136.9,280.76,66,100,9.72,JP,1669910786
428,santa vitoria,-18.8386,-50.1214,305.92,34,88,3.89,BR,1669910786
429,grindavik,63.8424,-22.4338,277.41,87,75,11.32,IS,1669910787
430,lorengau,-2.0226,147.2712,300.05,79,98,2.21,PG,1669910787
431,ambunti,-4.2365,142.8448,296.71,98,100,0.73,PG,1669910787
432,luanda,-8.8368,13.2343,302.15,70,40,6.69,AO,1669910522
433,flin flon,54.7682,-101.865,251.69,94,100,3.03,CA,1669910787
434,pau brasil,-15.4642,-39.6511,300.72,83,99,1.89,BR,1669910788
435,agapovka,53.2973,59.1348,260.71,90,96,3.45,RU,1669910580
436,cururupu,-1.8283,-44.8683,303.92,59,47,3.49,BR,1669910788
437,suslovo,56.2167,88.1167,254.39,98,100,1.57,RU,1669910788
438,kurilsk,45.2333,147.8833,271.85,60,96,12.28,RU,1669910788
439,posse,-14.0931,-46.3694,301.58,53,88,2.29,BR,1669910788
440,huilong,31.8111,121.655,278.57,64,100,5.64,CN,1669910640
441,chengde,40.9725,117.9361,263.19,35,0,0.69,CN,1669910788
442,karratha,-20.7377,116.8463,301.07,55,0,6.12,AU,1669910789
443,east london,-33.0153,27.9116,297.57,78,14,4.27,ZA,1669910789
444,macusani,-14.0833,-70.4333,285.67,26,3,3.32,PE,1669910789
445,half moon bay,37.4636,-122.4286,284.94,91,100,12.86,US,1669910789
446,antsohihy,-14.8796,47.9875,298.92,79,35,2.39,MG,1669910789
447,taoudenni,22.6783,-3.9836,299.23,7,89,3.0,ML,1669910789
448,kargil,34.5667,76.1,270.78,37,100,1.31,IN,1669910790
449,el bagre,7.5927,-74.8086,302.61,65,71,0.87,CO,1669910790
450,hashtrud,37.4779,47.0508,278.42,85,100,2.37,IR,1669910790
451,paris,48.8534,2.3488,279.58,85,100,4.12,FR,1669910677
452,petropavlovsk-kamchatskiy,53.0452,158.6483,263.84,78,21,2.16,RU,1669910553
453,coquimbo,-29.9533,-71.3436,291.34,72,61,4.03,CL,1669910510
454,alexandria,31.2156,29.9553,294.13,68,0,4.12,EG,1669910010
455,chongoyape,-6.6406,-79.3892,301.34,47,54,2.99,PE,1669910790
456,westport,41.1415,-73.3579,278.95,52,75,10.29,US,1669910791
457,sao jose da coroa grande,-8.8978,-35.1478,301.67,64,55,6.65,BR,1669910591
458,redmond,47.674,-122.1215,274.69,95,100,3.14,US,1669910791
459,ekhabi,53.5102,142.9671,253.47,96,100,8.71,RU,1669910791
460,lexington park,38.2668,-76.4538,280.17,43,0,8.75,US,1669910791
461,port-cartier,50.0334,-66.8654,274.12,77,53,7.32,CA,1669910792
462,lagoa,39.05,-27.9833,288.73,78,38,13.25,PT,1669910515
463,wau,7.7029,27.9953,304.95,24,80,1.98,SS,1669910792
464,nishihara,26.1842,127.7558,291.75,72,100,7.72,JP,1669910792
465,ystad,55.4297,13.8204,276.56,95,100,3.92,SE,1669910792
466,sioux lookout,50.1001,-91.917,261.69,82,100,2.34,CA,1669910793
467,amurrio,43.05,-3.0,283.63,85,98,2.66,ES,1669910793
468,gizo,-8.103,156.8419,299.96,79,100,2.45,SB,1669910793
469,leticia,-4.2153,-69.9406,305.18,66,75,3.6,CO,1669910793
470,sao felix do xingu,-6.6447,-51.995,300.81,84,97,0.98,BR,1669910794
471,anshun,26.25,105.9333,273.71,82,100,3.2,CN,1669910794
472,hovd,48.0056,91.6419,253.77,71,58,1.7,MN,1669910794
